Rango_score,6 o menos,7 a 12,13 a 24,25 a 60,61 a 120,121 o más
0% a 10%,4.855,4.812,5.608,7.796,11.248,21.27
10.1% a 20%,7.321,7.856,9.583,15.541,24.45,31.679
20.1% a 30%,7.286,10.503,13.27,19.672,24.578,22.217
30.1% a 40%,8.907,13.348,17.208,19.963,17.986,12.794
40.1% a 50%,12.127,16.64,19.056,16.601,11.205,6.652
50.1% a 60%,15.822,17.993,16.632,11.151,5.862,2.981
60.1% a 70%,18.521,16.003,11.181,5.792,2.791,1.436
70.1% a 80%,16.147,9.405,5.319,2.52,1.356,0.733
80.1% a 90%,7.951,3.107,1.932,0.894,0.501,0.23
90.1% a 100%,1.063,0.332,0.211,0.069,0.023,0.007
